Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
0.6074 2.1327 -0.8566 1.0493 -1.4837 -0.2520 -0.1609 -0.5346 0.2403 -0.0998 0.2513 -0.2335 -0.0334 -2.4142 0.8944 -1.8194 -0.1426 -0.1623 -0.3970 -1.0540 -0.7851 0.3235 -0.1840 -0.2639 0.3534 0.2237 0.3558 -0.6903 0.2749 -0.0803 2.1720 -0.2671 -0.4154 0.2956 -0.5355 0.2831 -0.1152 -0.4061 -0.4720 0.7705 -0.5198 0.7697 -0.6005 -0.2592 0.0186 -0.2484 -0.0900 0.9708 -0.1435 0.8717 1.3146 -0.4939 0.1725 0.5207 0.0718 -0.4350 0.7190 -0.1129 1.0788 -0.5992 0.3200 -0.5692 -0.4106 0.0597
0.2583 1.5587 -0.9623 0.9519 -1.4829 -0.2204 -0.0182 -0.3267 0.3512 0.5090 0.0017 -0.3962 -0.0198 -1.9944 0.5932 -1.6278 -0.3585 -0.2346 -0.2662 -1.0438 -0.8975 0.1950 -0.2613 -0.2445 0.2637 0.2173 0.3000 -0.4534 0.1222 -0.1244 1.6342 -0.1423 -0.5814 0.0861 -0.6312 0.2321 -0.0768 -0.2529 -0.7265 0.5746 -0.6804 0.7547 -0.5945 -0.0857 0.1526 0.1072 -0.5516 0.6557 -0.3373 0.9033 1.1890 -0.2272 -0.0343 0.5269 -0.0812 -0.3149 0.3736 0.0475 1.0407 -0.1426 -0.0646 -0.5814 -0.1479 0.5076
-0.1572 0.9456 -1.0626 0.7453 -1.4244 -0.2288 0.1475 -0.1248 0.4904 1.1191 -0.1868 -0.5809 0.0866 -1.3346 0.3421 -1.3398 -0.5947 -0.2949 -0.1472 -0.9210 -0.9752 0.0349 -0.3138 -0.2364 0.2122 0.1281 0.3083 -0.1816 -0.0285 -0.1590 1.0121 -0.0333 -0.7358 -0.1797 -0.6845 0.1642 -0.0178 -0.1180 -0.9976 0.2344 -0.7637 0.6583 -0.5379 0.0734 0.3074 0.4545 -1.0262 0.2971 -0.4764 0.8205 1.0861 0.0617 -0.2936 0.5345 -0.1921 -0.2041 0.0792 0.2501 1.0189 0.3406 -0.4618 -0.5829 0.1169 0.9640
-0.6091 0.3219 -1.1306 0.4453 -1.3085 -0.3021 0.3247 0.0486 0.6637 1.6376 -0.2922 -0.7561 0.1855 -0.5643 0.1798 -0.9966 -0.8338 -0.3485 -0.0514 -0.7381 -1.0079 -0.1585 -0.3424 -0.2526 0.2278 -0.0310 0.3782 0.0803 -0.1410 -0.1563 0.4181 0.0607 -0.8556 -0.4775 -0.6928 0.0659 0.0531 -0.0144 -1.2490 -0.2170 -0.7467 0.4626 -0.4320 0.1894 0.4827 0.7638 -1.4436 -0.0567 -0.5209 0.6443 1.0220 0.3523 -0.5748 0.5159 -0.2493 -0.1157 -0.1929 0.4649 1.0340 0.7906 -0.7981 -0.5846 0.3571 1.3639
-1.0582 -0.2758 -1.1360 0.0922 -1.1400 -0.4487 0.4926 0.1689 0.8524 1.9784 -0.3078 -0.8719 0.1933 0.1741 0.1184 -0.6498 -1.0514 -0.3975 0.0075 -0.5689 -0.9851 -0.3765 -0.3491 -0.2998 0.3285 -0.2461 0.4842 0.2839 -0.1837 -0.1014 -0.0330 0.1529 -0.9172 -0.7696 -0.6567 -0.0674 0.1229 0.0446 -1.4403 -0.7065 -0.6172 0.1804 -0.2876 0.2413 0.6652 1.0043 -1.7417 -0.3613 -0.4550 0.4251 0.9973 0.6065 -0.8423 0.4467 -0.2571 -0.0218 -0.4689 0.6400 1.0856 1.1555 -1.0153 -0.5964 0.5450 1.6386
-1.4638 -0.8088 -1.0569 -0.2541 -0.9273 -0.6578 0.6287 0.2202 1.0217 2.0941 -0.2434 -0.8846 0.0704 0.7665 0.1423 -0.3429 -1.2221 -0.4433 0.0175 -0.4833 -0.9036 -0.6016 -0.3389 -0.3774 0.5132 -0.5073 0.5914 0.3899 -0.1359 0.0071 -0.2608 0.2586 -0.9056 -1.0137 -0.5819 -0.2311 0.1770 0.0496 -1.5403 -1.1451 -0.3818 -0.1480 -0.1232 0.2211 0.8333 1.1548 -1.8800 -0.5942 -0.2902 0.2170 1.0035 0.7841 -1.0671 0.3195 -0.2342 0.1047 -0.7480 0.7254 1.1543 1.4052 -1.0757 -0.6243 0.6602 1.7446
-1.7856 -1.2397 -0.8881 -0.5295 -0.6841 -0.8998 0.7164 0.2050 1.1364 1.9819 -0.1256 -0.7821 -0.1651 1.1492 0.2153 -0.1006 -1.3245 -0.4864 -0.0253 -0.5200 -0.7703 -0.8106 -0.3191 -0.4764 0.7569 -0.7952 0.6679 0.3822 0.0060 0.1611 -0.2552 0.3852 -0.8164 -1.1740 -0.4793 -0.4095 0.2032 -0.0013 -1.5278 -1.4494 -0.0677 -0.4674 0.0375 0.1388 0.9630 1.2090 -1.8468 -0.7553 -0.0619 0.0609 1.0285 0.8610 -1.2270 0.1512 -0.2023 0.2489 -0.9991 0.7012 1.2125 1.5328 -0.9598 -0.6704 0.6941 1.6727
-1.9913 -1.5399 -0.6450 -0.6882 -0.4301 -1.1326 0.7492 0.1430 1.1780 1.6744 0.0071 -0.5894 -0.4457 1.2879 0.2952 0.0710 -1.3467 -0.5253 -0.1118 -0.6707 -0.6007 -0.9797 -0.2985 -0.5797 1.0137 -1.0668 0.6942 0.2715 0.2202 0.3403 -0.0823 0.5270 -0.6572 -1.2296 -0.3630 -0.5792 0.1951 -0.1000 -1.3919 -1.5640 0.2814 -0.7218 0.1705 0.0196 1.0363 1.1744 -1.6607 -0.8538 0.1789 -0.0185 1.0600 0.8365 -1.3061 -0.0247 -0.1722 0.3563 -1.1800 0.5858 1.2389 1.5472 -0.6692 -0.7324 0.6519 1.4448
-2.0689 -1.6990 -0.3636 -0.7214 -0.1896 -1.3155 0.7319 0.0617 1.1527 1.2328 0.1190 -0.3530 -0.6844 1.1455 0.3471 0.1767 -1.2927 -0.5585 -0.2210 -0.8876 -0.4181 -1.0921 -0.2866 -0.6661 1.2321 -1.2655 0.6676 0.0883 0.4605 0.5113 0.1483 0.6657 -0.4471 -1.1816 -0.2495 -0.7178 0.1538 -0.2314 -1.1358 -1.4789 0.6131 -0.8692 0.2573 -0.1059 1.0469 1.0689 -1.3621 -0.8948 0.3827 -0.0107 1.0865 0.7299 -1.2989 -0.1734 -0.1408 0.3726 -1.2615 0.4191 1.2265 1.4692 -0.2335 -0.8045 0.5534 1.1117
-2.0348 -1.7305 -0.0909 -0.6596 0.0136 -1.4244 0.6754 -0.0142 1.0806 0.7431 0.1962 -0.1202 -0.8119 0.7007 0.3495 0.2257 -1.1827 -0.5872 -0.3268 -1.1043 -0.2497 -1.1447 -0.2918 -0.7169 1.3734 -1.3462 0.6014 -0.1285 0.6702 0.6345 0.3368 0.7753 -0.2152 -1.0539 -0.1543 -0.8138 0.0872 -0.3761 -0.7844 -1.2322 0.8797 -0.8963 0.2888 -0.2152 1.0014 0.9185 -0.9985 -0.8743 0.5211 0.0837 1.0976 0.5725 -1.2144 -0.2705 -0.0962 0.2823 -1.2398 0.2385 1.1770 1.3323 0.2866 -0.8786 0.4289 0.7472
