Fp1 Fp2 F3 F4 C3 C4 P3 P4 O1 O2 F7 F8 T7 T8 P7 P8 Fz Cz Pz IO FC1 FC2 CP1 CP2 FC5 FC6 CP5 CP6 FT9 FT10 TP9 TP10 F1 F2 C1 C2 P1 P2 AF3 AF4 FC3 FC4 CP3 CP4 PO3 PO4 F5 F6 C5 C6 P5 P6 AF7 AF8 FT7 FT8 TP7 TP8 PO7 PO8 Fpz CPz POz Oz
1.9666 1.6610 1.2440 2.1603 -0.3426 1.3385 -1.1104 -0.3295 -1.9232 -2.2743 0.2621 1.1176 0.2903 -0.1356 -2.1310 -1.9901 1.9028 1.8356 1.3017 -0.2666 1.1560 1.6680 0.3363 1.8307 -0.1149 0.7485 -1.4148 -0.1190 0.9188 -1.2437 -1.9683 -1.4973 1.6293 2.2097 0.4203 1.6831 0.1617 1.1833 1.7385 2.1907 0.7933 1.8988 -1.0497 0.8795 -1.4289 -1.3742 2.0644 2.0343 -0.8441 0.0920 -1.9918 -1.9969 1.4330 1.1533 0.2638 0.2132 -1.3043 -0.6424 -1.7772 -2.6196 1.7105 1.7975 -0.4335 -1.7491
1.8273 1.7582 1.2808 2.2077 -0.1746 1.5373 -1.0431 -0.1894 -2.2427 -2.5238 0.2670 1.4258 0.1337 -0.4304 -2.3487 -2.3314 1.9131 2.0281 1.5594 -0.2165 1.1648 1.8019 0.5146 2.0915 -0.1566 1.0163 -1.4294 -0.1052 0.9837 -1.2163 -1.9682 -1.6135 1.6187 2.3091 0.5845 1.8883 0.3482 1.3995 1.8396 2.4204 0.8622 2.0296 -0.8862 1.0438 -1.5128 -1.5290 1.6380 2.0567 -0.7297 0.2294 -2.0001 -2.2237 1.4054 1.6223 0.1733 0.3851 -1.4978 -0.6256 -2.0334 -2.9824 1.8587 2.0404 -0.3681 -2.0828
1.5803 1.7332 1.2724 2.2040 0.0907 1.7265 -0.9228 -0.0236 -2.5049 -2.7171 0.2863 1.5008 0.0185 -0.8410 -2.4875 -2.6978 1.8617 2.2226 1.8027 0.0109 1.1938 1.9012 0.7692 2.3258 -0.1092 1.2270 -1.3616 -0.0949 0.9075 -1.1586 -1.9142 -1.7462 1.5570 2.3464 0.8105 2.0675 0.5584 1.6019 1.8193 2.5063 0.9391 2.1066 -0.6247 1.2043 -1.5718 -1.6410 1.1339 1.9098 -0.5462 0.4160 -1.9531 -2.4287 1.3585 1.8496 0.0827 0.4681 -1.6109 -0.7058 -2.2707 -3.3410 1.7905 2.2820 -0.2809 -2.2973
1.2311 1.6057 1.2320 2.1519 0.4401 1.8727 -0.7592 0.1553 -2.6729 -2.8724 0.3231 1.3683 -0.0982 -1.2374 -2.5611 -3.0532 1.7629 2.4146 2.0222 0.4143 1.2517 1.9635 1.0895 2.5094 0.0374 1.3408 -1.2275 -0.1039 0.7139 -1.0684 -1.8286 -1.8703 1.4598 2.3262 1.0881 2.2025 0.7763 1.7778 1.6840 2.4212 1.0228 2.1152 -0.2851 1.3344 -1.6039 -1.7068 0.6375 1.6138 -0.2943 0.6239 -1.8701 -2.5995 1.2769 1.7912 0.0098 0.4443 -1.6491 -0.8664 -2.4814 -3.6796 1.4625 2.5118 -0.1768 -2.3952
0.8410 1.4224 1.1847 2.0549 0.8495 1.9482 -0.5703 0.3328 -2.7435 -3.0141 0.3863 1.1125 -0.2457 -1.5020 -2.5976 -3.3575 1.6427 2.6004 2.2070 0.9250 1.3447 1.9957 1.4549 2.6294 0.2835 1.3393 -1.0500 -0.1398 0.4592 -1.0039 -1.7595 -1.9619 1.3534 2.2645 1.4024 2.2832 0.9862 1.9194 1.4740 2.1668 1.1184 2.0475 0.1038 1.4135 -1.6190 -1.7283 0.2361 1.2258 0.0104 0.8133 -1.7742 -2.7203 1.1682 1.4886 -0.0379 0.3220 -1.6400 -1.0635 -2.6629 -3.9779 0.9140 2.7177 -0.0669 -2.4116
0.5013 1.2428 1.1581 1.9201 1.2876 1.9361 -0.3757 0.4942 -2.7248 -3.1668 0.4852 0.8205 -0.4333 -1.5860 -2.6159 -3.5845 1.5278 2.7718 2.3454 1.4290 1.4705 2.0082 1.8358 2.6815 0.6167 1.2319 -0.8504 -0.2004 0.2149 -1.0209 -1.7582 -2.0196 1.2679 2.1787 1.7323 2.3053 1.1745 2.0210 1.2435 1.7725 1.2326 1.9038 0.5105 1.4306 -1.6265 -1.7127 -0.0060 0.8248 0.3434 0.9394 -1.6806 -2.7809 1.0621 1.0366 -0.0579 0.1326 -1.6191 -1.2550 -2.8012 -4.2176 0.2583 2.8861 0.0369 -2.3919
0.2840 1.1148 1.1679 1.7592 1.7152 1.8312 -0.1937 0.6264 -2.6192 -3.3357 0.6174 0.5430 -0.6467 -1.5201 -2.6175 -3.7218 1.4338 2.9117 2.4260 1.8168 1.6119 2.0067 2.1944 2.6648 1.0019 1.0486 -0.6476 -0.2750 0.0396 -1.1027 -1.8489 -2.0622 1.2235 2.0778 2.0462 2.2658 1.3295 2.0778 1.0338 1.2859 1.3645 1.6938 0.9020 1.3834 -1.6273 -1.6676 -0.0564 0.4868 0.6796 0.9648 -1.5944 -2.7785 0.9897 0.5349 -0.0453 -0.0847 -1.6130 -1.4193 -2.8711 -4.3794 -0.3677 3.0013 0.1282 -2.3625
0.2070 1.0515 1.2111 1.5876 2.0874 1.6392 -0.0431 0.7224 -2.4337 -3.4925 0.7659 0.2998 -0.8505 -1.3862 -2.6002 -3.7595 1.3624 2.9951 2.4416 2.0324 1.7379 1.9886 2.4889 2.5786 1.3828 0.8261 -0.4620 -0.3495 -0.0456 -1.1744 -2.0122 -2.1048 1.2219 1.9626 2.3043 2.1627 1.4398 2.0854 0.8645 0.7632 1.4996 1.4365 1.2445 1.2769 -1.6199 -1.5938 0.0874 0.2617 0.9955 0.8726 -1.5190 -2.7130 0.9664 0.0568 0.0098 -0.2956 -1.6341 -1.5540 -2.8598 -4.4375 -0.8597 3.0463 0.2066 -2.3175
0.2384 1.0287 1.2757 1.4230 2.3621 1.3776 0.0579 0.7834 -2.2017 -3.5872 0.9127 0.1054 -0.9972 -1.2509 -2.5715 -3.6847 1.3069 2.9976 2.3911 2.0888 1.8140 1.9474 2.6810 2.4238 1.7010 0.5977 -0.3134 -0.4101 -0.0594 -1.1792 -2.1906 -2.1357 1.2504 1.8340 2.4677 1.9998 1.4941 2.0426 0.7483 0.2608 1.6140 1.1602 1.5064 1.1227 -1.6112 -1.4871 0.3952 0.1619 1.2672 0.6757 -1.4627 -2.5832 0.9942 -0.3538 0.1153 -0.4726 -1.6796 -1.6586 -2.7863 -4.3658 -1.1720 3.0074 0.2716 -2.2344
0.3239 1.0126 1.3519 1.2841 2.5101 1.0748 0.0966 0.8173 -1.9837 -3.5757 1.0551 -0.0209 -1.0365 -1.0989 -2.5457 -3.4860 1.2600 2.9048 2.2794 2.0441 1.8154 1.8789 2.7450 2.2067 1.9219 0.3892 -0.2145 -0.4439 -0.0337 -1.1118 -2.3122 -2.1184 1.2924 1.6985 2.5097 1.7905 1.4845 1.9528 0.7057 -0.1698 1.6857 0.8977 1.6650 0.9387 -1.6180 -1.3447 0.7885 0.1675 1.4671 0.4121 -1.4363 -2.3867 1.0742 -0.6688 0.2704 -0.5908 -1.7322 -1.7190 -2.6972 -4.1496 -1.3054 2.8784 0.3169 -2.1012
